Date,MSFT,AAPL,NVDA,AMZN,GOOG,META,TSLA,Portfolio,Cash,Action on
1981-01-05 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-06 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-07 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-08 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-09 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-12 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-13 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-14 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-20 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-21 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-26 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
1981-01-27 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,[]
